CPF           | Nome              | Conta Corrente | Conta Internacional | Conta Cripto  
69814034045   | Julio Guimaraes   | null           | 150,05              | 115,50       
82479274039   | Lucca Nicassio    | 700,50         | 250,05              | null     
44182620089   | Geovanni Fedalto  | 800,50         | null                | 315,50       
12345678900   | Maria Silva       | 600,00         | 200,00              | 100,00
98765432100   | João Santos       | 750,25         | 300,50              | 250,75
11122233344   | Ana Pereira       | 900,75         | 400,25              | null
55566677788   | Pedro Rodrigues   | null           | 100,00              | 50,00
99988877766   | Sofia Alves       | 800,00         | 300,00              | 250,00
77788899900   | Lucas Oliveira    | 450,50         | 75,75               | 50,25
55544433322   | Lara Ferreira     | 650,25         | 200,50              | 150,25
33322211100   | Guilherme Santos  | 720,75         | null                | 220,75
66677788855   | Laura Ribeiro     | 850,00         | 400,00              | 350,00
22233344466   | Marcos Pereira    | 500,25         | 100,50              | 50,25
44455566688   | Isabela Gonçalves | 680,50         | 250,00              | 200,50
11122233344   | Rafael Lima       | 760,75         | 300,25              | 250,75
55566677788   | Ana Ferreira      | 620,00         | 200,00              | 100,00
99988877766   | Felipe Rodrigues  | 720,50         | null                | 220,50
77788899900   | Clara Alves       | 580,75         | 170,25              | 120,75
55544433322   | Tiago Silva       | 690,25         | 250,75              | 200,25
33322211100   | Amanda Ribeiro    | 800,00         | 350,00              | null
66677788855   | Larissa Oliveira  | 540,50         | 150,75              | 105,25
22233344466   | Gabriel Alves     | null           | 250,25              | 205,75
44455566688   | Helena Lima       | 710,00         | 320,00              | 285,00
11122233344   | Sofia Santos      | 480,25         | 100,50              | 55,25
55566677788   | Bruno Ferreira    | 780,50         | null                | 335,50
99988877766   | Lucas Gonçalves   | 550,75         | 120,25              | 75,75
77788899900   | Isabela Lima      | null           | 290,00              | 245,00
55544433322   | Pedro Ribeiro     | 610,25         | 180,50              | 135,25
33322211100   | Maria Alves       | 820,75         | 390,25              | 355,75
66677788855   | João Pereira      | 560,00         | null                | 95,00
22233344466   | Ana Lima          | 730,50         | 320,00              | 285,50
44455566688   | Felipe Santos     | 680,75         | 250,25              | 205,75
11122233344   | Laura Alves       | 690,25         | 290,00              | null
55566677788   | Carlos Silva      | 800,00         | 360,00              | 325,00

